,carname,price,milage,hubraum,transmission,num_seats,num_doors,emission_class,car_type,num_owners,age,power_ps,power_kw,Schaden,Model,amg,mc_laren,blk_series,blue_eff,g_pow,brabus,avantgarde,elegance,tag_63,tag_65,tag_55,tüv,E10,biodiesel,pflanzenöl,electric,fueltype
2606,Mercedes-Benz Mercedes Benz w202 C200 CDI,2000.0,187526.0,2386.2583961617547,Automatik,na,na,na,limousine,na,20.25,102.0,75.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2607,Mercedes-Benz Mercedes C 320cdi w203 v6 turbo euro4 8/21...,2600.0,375000.0,2386.2583961617547,Automatik,na,na,na,kombi,na,12.833333333333334,224.0,165.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2608,Mercedes-Benz Mercedes Benz E220 CDI Tausche auch ?,2200.0,345000.0,2506.206500956023,Schaltgetriebe,na,na,na,limousine,na,16.666666666666668,150.0,110.0,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2609,Mercedes-Benz Mercedes SLK 230 Kompressor R170 cabrio,2900.0,236000.0,3696.986394557823,Schaltgetriebe,na,na,na,cabrio,na,21.583333333333332,192.0,141.0,na,SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2610,Mercedes-Benz Mercedes Benz C200 Classic Navi,2900.0,245000.0,2386.2583961617547,Automatik,na,na,na,limousine,na,15.416666666666666,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2611,"Mercedes-Benz Merdcedes Benz c220, CDI Elegance Automati...",2700.0,268884.0,2386.2583961617547,Automatik,na,na,na,limousine,na,20.916666666666668,125.0,92.0,na,C-Klasse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Diesel
2612,Mercedes-Benz Mercedes-Benz B180,2850.0,240000.0,1722.2545454545455,-1,na,na,na,kleinwagen,na,13.0,138.2754716981132,101.69622641509434,na,B-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2613,Mercedes-Benz Mercedes c Klasse 200CDI,2600.0,172000.0,2386.2583961617547,Schaltgetriebe,na,na,na,andere,na,16.333333333333332,132.0,97.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2614,Mercedes-Benz Mercedes c Klasse 200CDI,2600.0,172000.0,2386.2583961617547,Schaltgetriebe,na,na,na,andere,na,16.333333333333332,132.0,97.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2615,Mercedes-Benz Mercedes Benz C 220 CDI Esprit,2000.0,218000.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,20.916666666666668,125.0,92.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2616,Mercedes-Benz Mercedes Benz w203 C Klasse,2700.0,80000.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,19.25,163.0,120.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2617,Mercedes-Benz Mercedes C180 Baujahr 1998,2250.0,180000.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,21.75,122.0,90.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2618,Mercedes-Benz Mercedes-Benz Vito 112,2300.0,233668.0,2047.076923076923,Schaltgetriebe,na,na,na,van,na,20.0,120.0,88.0,na,Vito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2619,Mercedes-Benz Mercedes E Klasse 270 CDI tauschen ist mög...,2900.0,300000.0,2506.206500956023,Automatik,na,na,na,limousine,na,16.0,177.0,130.0,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2620,Mercedes-Benz Mercedes C Klasse Sportcoupe - Kompressor ...,2900.0,159000.0,2386.2583961617547,Schaltgetriebe,na,na,na,sport,na,17.416666666666668,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2621,Mercedes-Benz Mercedes-Benz Ml 320 w163,3000.0,300000.0,3310.7383177570096,Automatik,na,na,na,suv,na,21.833333333333332,218.0,160.0,na,M-Klasse,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Benzin
2622,Mercedes-Benz A 160,2150.0,129000.0,1662.0386329866271,-1,5,4/5,na,limousine,1,18.166666666666668,136.0710498409332,100.06998939554613,without,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
2623,Mercedes-Benz S 320 CDI,2799.0,400000.0,3222.0,Automatik,5,4/5,Euro3,limousine,na,17.0,197.0,145.0,na,S-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2624,Mercedes-Benz Mercedes Benz C200 CDI,2990.0,181455.0,2386.2583961617547,Automatik,na,na,na,kombi,na,15.166666666666666,122.0,90.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2625,Mercedes-Benz Mercedes W202 C240*AMG*1.Hand*TÜV Neu,3000.0,203000.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,20.083333333333332,170.0,125.0,na,C-Klasse,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
2626,Mercedes-Benz C 180 T Kompressor Avantgarde,2600.0,200000.0,1796.0,Automatik,5,4/5,Euro4,kombi,3,17.25,143.0,105.0,without,C-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Benzin
2627,Mercedes-Benz Verkaufe meine EX Taxe,2499.0,364500.0,3312.844155844156,Automatik,na,na,na,kombi,na,10.5,116.0,85.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Erdgas
2628,Mercedes-Benz Mercedes-Benz E430 W210,3000.0,171280.0,3312.844155844156,Automatik,na,na,na,limousine,na,19.583333333333332,279.0,205.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2629,Mercedes-Benz Mercedes Benz A150,2499.0,200000.0,1662.0386329866271,Schaltgetriebe,na,na,na,limousine,na,13.5,95.0,70.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2630,Mercedes-Benz Mercedes C Klasse CDI Tüv neu gepflegt Mot...,2350.0,277000.0,2386.2583961617547,Schaltgetriebe,na,na,na,kombi,na,15.333333333333334,122.0,90.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Diesel
2631,"Mercedes-Benz Mercedes C Klasse 230 Kompressor, Foll Led...",2500.0,235000.0,2386.2583961617547,Automatik,na,na,na,sport,na,16.25,197.0,145.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2632,Mercedes-Benz Mercedes clk 320 w209 V6 sport lpg Prins V...,2999.0,320000.0,2927.7894736842104,Automatik,na,na,na,sport,na,17.916666666666668,218.0,160.0,na,CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Autogas
2633,Mercedes-Benz A 180 CDI A -Klasse *Comand-Panorama*Avantgarde*,2999.0,187500.0,1991.0,Schaltgetriebe,5,2/3,Euro4,kleinwagen,na,13.5,109.0,80.0,without,A-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Diesel
2634,Mercedes-Benz A 180 CDI A -Klasse *Comand-Panorama*Avantgarde*,2999.0,187500.0,1991.0,Schaltgetriebe,5,2/3,Euro4,kleinwagen,na,13.5,109.0,80.0,without,A-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Diesel
2635,Mercedes-Benz Mercedes C220 Cdi Kombi Tüv 09/21 Automatik,2855.0,216900.0,2386.2583961617547,Automatik,na,na,na,kombi,na,15.25,150.0,110.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,na
2636,Mercedes-Benz Mercedes Benz Classic,2200.0,220148.0,1792.3185840707965,Schaltgetriebe,na,na,na,kombi,na,17.166666666666668,129.0,95.0,na,CLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2637,Mercedes-Benz 213 CDI Sprinter 901.662/ AHK / 3-Si. / ORIG.KM.,2250.0,223000.0,2148.0,Schaltgetriebe,2,4/5,Euro3,van,2,15.0,129.0,95.0,without,Sprinter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2638,Mercedes-Benz Mercedes-Benz 180 c,2350.0,165000.0,3312.844155844156,Schaltgetriebe,na,na,na,limousine,na,17.916666666666668,139.0,102.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2639,Mercedes-Benz Mercedes Benz C 220,2900.0,280000.0,2386.2583961617547,-1,na,na,na,kombi,na,13.25,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2640,Mercedes-Benz Mercedes C 240 dunkelblau Automatik,2650.0,165900.0,2386.2583961617547,Automatik,na,na,na,limousine,na,19.25,170.0,125.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2641,Mercedes-Benz C -Klasse T-Modell C 180 T KLIMA! 8-FACH! ALU!,2490.0,119000.0,1796.0,Schaltgetriebe,5,4/5,Euro4,kombi,2,17.333333333333332,143.0,105.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2642,Mercedes-Benz C KLASSE NEUER TÜV,2000.0,190000.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,18.916666666666668,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
2643,Mercedes-Benz C 220 CDI Classic,2000.0,259000.0,2148.0,Automatik,5,4/5,Euro4,limousine,4,14.75,143.0,105.0,without,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2644,Mercedes-Benz Mercedes Benz E 270 CDI Avantgarde w210/s210,2749.0,299259.0,2506.206500956023,Automatik,na,na,na,kombi,na,17.75,170.0,125.0,na,E-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Diesel
2645,Mercedes-Benz mersedez benz c classe c220,3000.0,240000.0,2386.2583961617547,Schaltgetriebe,na,na,na,kombi,na,14.0,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2646,Mercedes-Benz C 220 CDI Elegance DPF,2999.0,215000.0,2148.0,Schaltgetriebe,5,4/5,Euro3,limousine,3,15.5,150.0,110.0,without,C-Klasse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Diesel
2647,Mercedes-Benz Mercedes SLK 200 Kompressor,2700.0,258000.0,3696.986394557823,Schaltgetriebe,na,na,na,cabrio,na,18.916666666666668,163.0,120.0,na,SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2648,Mercedes-Benz Mercedes Vito 110 CDI,2300.0,298000.0,2047.076923076923,Schaltgetriebe,na,na,na,van,na,16.25,101.0,74.0,na,Vito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2649,Mercedes-Benz Mercedes Benz,2500.0,148418.0,3312.844155844156,Schaltgetriebe,na,na,na,kombi,na,17.666666666666668,129.0,95.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2650,"Mercedes-Benz Lim. E 220 CDI Elegance, Automatik, Navi, PDC",2990.0,227000.0,2148.0,Automatik,5,4/5,Euro3,limousine,na,17.416666666666668,150.0,110.0,without,E-Klasse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Diesel
2651,Mercedes-Benz A 180 CDI Autotronic Avantgarde Polar Star,2700.0,277000.0,1991.0,Automatik,5,2/3,Euro4,kleinwagen,na,13.166666666666666,109.0,80.0,without,A-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Diesel
2652,Mercedes-Benz Mercedes Cklasse 27cdi,2490.0,240000.0,3312.844155844156,Automatik,na,na,na,limousine,na,15.166666666666666,170.0,125.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2653,Mercedes-Benz 211 CDI Sprinter 901.662 KurzFlach Ahk Tüv 10/22,2850.0,177000.0,2148.0,Schaltgetriebe,2,4/5,Euro3,van,na,18.25,109.0,80.0,na,Sprinter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Diesel
2654,Mercedes-Benz 211 CDI Sprinter 901.662 KurzFlach Ahk Tüv 10/22,2850.0,177000.0,2148.0,Schaltgetriebe,2,4/5,Euro3,van,na,18.25,109.0,80.0,na,Sprinter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Diesel
2655,Mercedes-Benz Mercedes Benz C320 Avantgarde,2500.0,239249.0,2386.2583961617547,Automatik,na,na,na,limousine,na,18.916666666666668,218.0,160.0,na,C-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Benzin
2656,Mercedes-Benz Mercedes-Benz S320 Lang *Vollaustattung*,2799.0,280000.0,3312.844155844156,Automatik,na,na,na,limousine,na,19.0,224.0,165.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2657,Mercedes-Benz C 320 T Avantgarde,2950.0,256000.0,3199.0,Automatik,5,4/5,Euro4,kombi,4,18.916666666666668,218.0,160.0,na,C-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Autogas
2658,"Mercedes-Benz A Klasse 200 Avangarde, Mercedes, W169",2340.0,110100.0,1662.0386329866271,Schaltgetriebe,na,na,na,kleinwagen,na,14.25,136.0,100.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2659,Mercedes-Benz C 240 Elegance Lim. Automatik*AHK*,2980.0,180408.0,2597.0,Automatik,5,4/5,na,limousine,3,19.583333333333332,170.0,125.0,na,C-Klasse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Benzin
2660,Mercedes-Benz Mercedes C Klasse,2900.0,180000.0,2386.2583961617547,Schaltgetriebe,na,na,na,andere,na,21.75,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2661,Mercedes-Benz Mercedes Benz c220,3000.0,256000.0,2386.2583961617547,Schaltgetriebe,na,na,na,kombi,na,18.0,131.0,96.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2662,Mercedes-Benz A 160 Avantgarde,2250.0,200000.0,1598.0,Schaltgetriebe,5,4/5,Euro4,limousine,3,16.75,102.0,75.0,without,A-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Benzin
2663,Mercedes-Benz Mercedes A160 Top Zustand 72350 km,3000.0,72350.0,1662.0386329866271,Automatik,na,na,na,kleinwagen,na,17.25,102.0,75.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2664,Mercedes-Benz Mercedes ML 270 CDI Final Edition TÜV 03/22,2999.0,300000.0,3310.7383177570096,Automatik,na,na,na,suv,na,15.416666666666666,163.0,120.0,na,M-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Diesel
2665,Mercedes-Benz C 200 T Esprit,2400.0,255000.0,1998.0,Automatik,5,4/5,Euro2,kombi,na,21.25,136.0,100.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2666,Mercedes-Benz Mercedes Benz CLK 230 Sonderpreis!!!,2200.0,207800.0,2927.7894736842104,Automatik,na,na,na,sport,na,20.083333333333332,193.0,142.0,na,CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2667,Mercedes-Benz A 140 A 140 CLASSIC TÜV NEU,2499.0,99975.0,1397.0,Automatik,5,4/5,Euro4,van,2,20.0,82.0,60.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
2668,Mercedes-Benz A 160,2200.0,180900.0,1662.0386329866271,Schaltgetriebe,5,4/5,Euro5,limousine,na,10.583333333333334,82.0,60.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2669,Mercedes-Benz Mercedes C200 Kompressor,2100.0,116000.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,19.0,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2670,Mercedes-Benz Mercedes coupe 200c,2700.0,235000.0,3312.844155844156,Schaltgetriebe,na,na,na,sport,na,13.416666666666666,163.0,120.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2671,Mercedes-Benz Slk r170 230,2500.0,120000.0,3696.986394557823,Automatik,na,na,na,cabrio,na,21.0,192.0,141.0,na,SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
2672,Mercedes-Benz C 200 T CDI Automatik Classic,2300.0,289000.0,2148.0,Schaltgetriebe,5,4/5,Euro4,kombi,3,14.666666666666666,122.0,90.0,without,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2673,Mercedes-Benz CLK 270,2500.0,240000.0,2699.0,Automatik,4,2/3,Euro4,sport,na,15.666666666666666,170.0,125.0,repaired,CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2674,Mercedes-Benz CLK 270,2500.0,240000.0,2699.0,Automatik,4,2/3,Euro4,sport,na,15.666666666666666,170.0,125.0,repaired,CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2675,Mercedes-Benz E 240 T Avantgarde Automatik*aus 2.Hand*,2490.0,207028.0,2597.0,Automatik,5,4/5,Euro4,kombi,2,18.25,170.0,125.0,na,E-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Benzin
2676,Mercedes-Benz A 200 CDI Elegance *WIR SIND FÜR SIE DA*,2799.0,233000.0,1991.0,Schaltgetriebe,5,4/5,Euro4,kleinwagen,na,12.0,140.0,103.0,na,A-Klasse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Diesel
2677,Mercedes-Benz E -Klasse Lim. E 320 CDI Automatik,2490.0,299000.0,3222.0,Automatik,5,4/5,na,limousine,na,16.416666666666668,204.0,150.0,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2678,Mercedes-Benz A 140 *KOSTENLOSE LIEFERUNG*TÜV 01.2022,2490.0,119500.0,1397.0,Schaltgetriebe,5,4/5,na,limousine,na,17.416666666666668,82.0,60.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
2679,Mercedes-Benz Mercedes A 200 Elegance Orig. Km TÜV,2390.0,147500.0,1662.0386329866271,Schaltgetriebe,na,na,na,limousine,na,14.416666666666666,136.0,100.0,na,A-Klasse,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Benzin
2680,Mercedes-Benz Mercedes C klasse 180 Kompressor,2499.0,225000.0,2386.2583961617547,Automatik,na,na,na,kombi,na,15.666666666666666,143.0,105.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2681,Mercedes-Benz A 160 Eleg.Lang-Klima-Schiebed.-TÜV neu,2950.0,118683.0,1595.0,Schaltgetriebe,5,4/5,Euro4,kleinwagen,na,18.333333333333332,102.0,75.0,without,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
2682,Mercedes-Benz Mercedes Benz A170 CDI,2000.0,158000.0,1662.0386329866271,Schaltgetriebe,na,na,na,andere,na,15.666666666666666,95.0,70.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2683,Mercedes-Benz Mercedes Benz CL 203,2800.0,155000.0,2980.701886792453,Schaltgetriebe,na,na,na,sport,na,17.75,129.0,95.0,na,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2684,Mercedes-Benz Mercedes a140 Classic,2800.0,84000.0,1792.3185840707965,Schaltgetriebe,na,na,na,kleinwagen,na,18.583333333333332,82.0,60.0,na,CLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2685,Mercedes-Benz Mercedes Benz C 220 CDI,2700.0,390000.0,2386.2583961617547,Automatik,na,na,na,limousine,na,13.416666666666666,136.0,100.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2686,Mercedes-Benz A200 Lamellendach Avantgarde,2840.0,121500.0,1662.0386329866271,Schaltgetriebe,na,na,na,andere,na,15.916666666666666,136.0,100.0,na,A-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Benzin
2687,Mercedes-Benz C 180 Classic,2000.0,280000.0,1799.0,Automatik,5,4/5,Euro4,limousine,na,19.333333333333332,122.0,90.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2688,Mercedes-Benz Smart aus 2007 Automatik,2750.0,98500.0,3312.844155844156,Automatik,na,na,na,andere,na,12.083333333333334,276.94528301886794,203.68490566037735,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2689,Mercedes-Benz A 160 Classic,2490.0,145000.0,1598.0,Automatik,5,4/5,Euro3,limousine,2,17.583333333333332,102.0,75.0,repaired,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2690,Mercedes-Benz Mercedes A160,2200.0,180900.0,1662.0386329866271,Schaltgetriebe,na,na,na,andere,na,10.083333333333334,136.0710498409332,100.06998939554613,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2691,Mercedes-Benz MERCEDES A KLASSE MIT KLIMA / ALU / NAVI /...,2990.0,130000.0,1662.0386329866271,Schaltgetriebe,na,na,na,limousine,na,13.5,95.0,70.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2692,Mercedes-Benz A 160 CDI Avantgarde DPF BlueEFFICIENCY,3000.0,196000.0,1991.0,Schaltgetriebe,5,4/5,Euro4,limousine,1,9.166666666666666,82.0,60.0,without,A-Klasse,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Diesel
2693,Mercedes-Benz Mercedes C180 Kompressor Coupé,2600.0,195000.0,2386.2583961617547,Automatik,na,na,na,sport,na,17.25,143.0,105.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2694,Mercedes-Benz C 200 Kompressor Sportcoupe,3000.0,256000.0,1796.0,Schaltgetriebe,4,2/3,Euro4,sport,na,15.333333333333334,163.0,120.0,without,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2695,Mercedes-Benz Mercedes Benz A-Klasse A160,2200.0,180000.0,1662.0386329866271,Schaltgetriebe,na,na,na,andere,na,19.416666666666668,102.0,75.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2696,Mercedes-Benz C 180 KOMPRESSOR T CLASSIC-Tüv 01-2023,2900.0,143450.0,1796.0,Schaltgetriebe,5,4/5,Euro4,kombi,na,15.833333333333334,143.0,105.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
2697,Mercedes-Benz C 200 T Kompressor Elegance,2950.0,174000.0,1796.0,Automatik,5,4/5,Euro4,kombi,1,16.5,163.0,120.0,without,C-Klasse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Benzin
2698,"Mercedes-Benz E -Klasse T-Modell E 220 T CDI, Elegance,TÜV neu",2150.0,260000.0,2148.0,Automatik,5,4/5,Euro3,kombi,3,20.166666666666668,143.0,105.0,na,E-Klasse,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Diesel
2699,"Mercedes-Benz E-Klasse Lim. E 200 CDI,Grüne Plakette,TÜV neu",2100.0,369000.0,2148.0,Automatik,5,4/5,Euro3,limousine,3,17.75,116.0,85.0,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Diesel
2700,Mercedes-Benz Mercedes-Benz n CLK 230 KOMPRESSOR / TÜV 1...,2800.0,176900.0,2927.7894736842104,Automatik,na,na,na,cabrio,na,20.166666666666668,193.0,142.0,na,CLK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
2701,Mercedes-Benz Mercedes Indianapolis C 220 Diesel,2399.0,275700.0,2386.2583961617547,Automatik,na,na,na,sport,na,15.916666666666666,143.0,105.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2702,Mercedes-Benz B -Klasse B 180 CDI,2990.0,196500.0,1991.0,Schaltgetriebe,5,4/5,Euro4,limousine,2,11.416666666666666,109.0,80.0,without,B-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2703,Mercedes-Benz mercedes SLK 200 Kompressor,2300.0,235000.0,3696.986394557823,Automatik,na,na,na,cabrio,na,18.333333333333332,163.0,120.0,na,SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2704,Mercedes-Benz E -Klasse Lim. E 220 CDI,2999.0,324789.0,2148.0,Automatik,5,4/5,na,limousine,2,17.166666666666668,150.0,110.0,without,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
2705,Mercedes-Benz Gepflegtes Mercedes C 240.Automatikgetriebe,2999.0,107000.0,2386.2583961617547,Automatik,na,na,na,limousine,na,17.083333333333332,170.0,125.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2706,Mercedes-Benz A 180 CDI Lim. *2.HAND/TÜV NEU/LAMELLENDACH/SHZ*,2990.0,176000.0,1991.0,Schaltgetriebe,5,4/5,Euro4,limousine,2,14.083333333333334,109.0,80.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Diesel
2707,Mercedes-Benz E -Klasse Lim. E 320 *3. Hand *S-Dach *Automatik,2390.0,190000.0,3199.0,Automatik,5,4/5,Euro3,limousine,3,21.666666666666668,224.0,165.0,without,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2708,Mercedes-Benz C 180 Sportcoupe SMARAGTSCHWARZ,2100.0,201000.0,1998.0,Schaltgetriebe,4,2/3,Euro2,sport,4,18.0,129.0,95.0,without,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
2709,Mercedes-Benz Mercedes A 180CDI Elegance W169,2500.0,171000.0,1662.0386329866271,Schaltgetriebe,na,na,na,andere,na,12.25,109.0,80.0,na,A-Klasse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Diesel
2710,Mercedes-Benz Vito Kasten 109 CDI kompakt *2. Hand *LKW *AHK,2990.0,293000.0,2148.0,Schaltgetriebe,na,4/5,Euro4,van,2,13.083333333333334,95.0,70.0,without,Vito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
